Year,Winner,Record Name,Artist,Lyrics,Spotiify ID
2005,Billboard(1),Boulevard Of Broken Dreams,Green Day,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me and I walk alone

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk alone

I walk alone
I walk alone
I walk alone
I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah, ah-ah

I'm walking down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone

Read between the lines
Of what's fucked up and everything's alright
Check my vital signs
To know I'm still alive and I walk alone

I walk alone
I walk alone
I walk alone
I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah

I walk alone
I walk a

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone",5GorCbAP4aL0EJ16frG2hd
2006,Billboard(1),Bad Day,Daniel Powter,"Where is the moment we needed the most
You kick up the leaves and the magic is lost
They tell me your blue skies fade to grey
They tell me your passion's gone away
And I don't need no carryin' on

You stand in the line just to hit a new low
You're faking a smile with the coffee to go
You tell me your life's been way off line
You're falling to pieces every time
And I don't need no carryin' on

'Cause you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day
You had a bad day

Well, you need a blue sky holiday
The point is they laugh at what you say
And I don't need no carryin' on

You had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
The camera don't lie
You're coming back down and you really don't mind
You had a bad day

(Oh, what a horrible day)

Sometimes the system goes on the blink
And the whole thing turns out wrong
You might not make it back and you know
That you could be well, oh, that strong
And I'm not wrong

(Yeah, yeah, yeah, yeah)

So where is the passion when you need it the most
Oh, you and I
You kick up the leaves and the magic is lost

'Cause you had a bad day
You're taking one down
You sing a sad song just to turn it around
You say you don't know
You tell me don't lie
You work at a smile and you go for a ride
You had a bad day
You've seen what you like
And how does it feel for one more time
You had a bad day
You had a bad day

Had a bad day
Had a bad day
Had a bad day",7xTcuBOIAAIGDOSvwYFPzk
2007,Billboard(1),Irreplaceable,Beyonce,"To the left, to the left
To the left, to the left (mmmmmm)
To the left, to the left

Everything you own in the box to the left
In the closet that's my stuff
Yes, if I bought it, please don't touch (Don't touch)
And keep talking that mess that's fine
But could you walk and talk at the same time
And, it's my name that's on that jag
So remove your bags, let me call you a cab

Standing in the front yard
Tellin' me, how I'm such a fool
Talkin' 'bout, how I'll never ever find a man like you
You got me twisted

You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I can have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable

So go ahead and get gone
Call up that chick and see if she's home
Oops, I bet you thought, that I didn't know
What did you think I was putting you out for
Because you was untrue
Rollin' her around in the car that I bought you
Baby drop them keys
Hurry up before your taxi leaves

Standing in the front yard
Tellin' me, how I'm such a fool
Talkin' bout, I'll never ever find a man like you
You got me twisted

You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I will have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable (Irreplaceable)

So since I'm not your everything (Irreplaceable)
How about I'll be nothing (Nothing)
Nothing at all to you (Nothing)
Baby, I won't shed a tear for you (I won't shed a tear)
I won't lose a wink of sleep
'Cause the truth of the matter is
Replacing you was so easy

To the left, to the left
To the left, to the left (mmmmmm)
To the left, to the left
Everything you own in the box to the left
To the left, to the left
Don't you ever for a second get to thinking
You're irreplaceable

You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I can have another you by tomorrow
So don't you ever for a second get to thinking (baby)
You must not know about me, you must not know about me
I can have another you in a minute
Matter of fact, he'll be here in a minute
You can pack all your bags (You must not know about me)
We're finished (You must not know about me)
'Cause you made your bed
Now lay in it
I can have another you by tomorrow
Don't you ever for a second get to thinking
You're irreplaceable",6RX5iL93VZ5fKmyvNXvF1r
2008,Billboard(1),Low,Flo Rida Featuring T-Pain,"
Mmmmmmmm
Let me talk to 'em
Let me talk to 'em
Let it rain
Mmmmmmm
Let me talk to 'em
C'mon!


Shawty had them apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low


I ain't never seen nothing that'll make me go
This crazy all night spending my dough
Had a million dollar vibe and a bottle to go
Them birthday cakes they stole the show
So sexual
She was flexible professional
Drinking X&O
Hold up, wait a minute, do I see what I think? Whoa
Did I think I see shawty get low?
Ain't the same when it's up that close
Make it rain I'm making it snow
Work the pole I got the bank roll
I'mma say that I prefer them no clothes
I'm into that I love women exposed
She threw it back at me I gave her more
Cash ain't no problem I know where it goes
She had them

[T-Pain:]
Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low


Hey shawty what I gotta do to get you home
My jeans full of guap and they're ready for shones
Cadillacs Maybachs for the sexy grown
Patron on the rocks that'll make you moan
One stack (come on), two stacks (come on), three stacks (come on)
Now that's three grand
What you think I'm playing, baby girl, I'm the man
I'll bend the rubber bands
That's what I told her
Her legs on my shoulder
I knew it was over
That Henny and Cola got me like a soldier
She ready for Rover, I couldn't control her
So lucky on me I was just like a clover
Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster
She showed her


Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low


Whoa, shawty, yeah, she was worth the money
Little mama took my cash
And I ain't want it back
The way she bent that back
Got her them paper stacks
Tattoo above her crack
I had to handle that
I was on it, sexy woman
Let me showing and made me want it
Two in the morning I'm zoning
And them Rosé bottles foaming
She wouldn't stop
Made it drop
Shawty did that pop and lock
Had to break her off that guap
Gal was fly just like my Glock


Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

C'mon",7EiZI6JVHllARrX9PUvAdX
2009,Billboard(1),Boom Boom Pow,The Black Eyed Peas,"Gotta get that
Gotta get that
Gotta get that
Gotta g-g-g-get-get-get, that that that that that

Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that

Boom, boom, boom, now
Boom, boom, boom, now
Boom, boom, boom
Boom, boom, boom


Yo
I got the hit that beat the block
You can get that bass overload
I got that rock and roll
That future flow

That digital spit
Next level visual shit
I got that boom, boom, boom
How the beat bang, boom, boom, boom


I like that boom, boom pow
Them chickens jackin' my style
They try to copy my swagger
I'm on that next shit now
I'm so three thousand and eight
You so two thousand and late
I got that boom, boom, boom
That future boom, boom, boom
Let me get it now

Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that

Boom, boom, boom, now
Boom, boom, boom, now
Boom, boom, boom
Boom, boom, boom

[Taboo:]
I'm on the supersonic boom
Y'all hear the space ship zoom
When when I step inside the room
Them girls go ape shit, uh
Y'all stuck on super A-shit
That lo-fi stupid 8-bit
I'm on that HD flat
This beat go boom, boom, pow

[Apl.De.Ap:]
I'm a beast when you turn me on
Into the future cybertron
Harder, faster, better, stronger
Sexin' ladies extra longer,
'Cause we got the beat that bounce
We got the beat that pow
We got the beat that 808
That boom, boom in your town

[Fergie:]
People in the place
If you wanna get down
Put your hands in the air
Will.I.am drop the beat now

[Will.I.Am:]
Yep, yep
I be rockin' them beats, yep, yep
I be rockin' them beats, yep, yep, yep, yep

Here we go, here we go
Satellite radio
Y'all getting hit with the boom, boom
Beats so big I'm stepping on leprechauns
Shitin' on y'all with the boom, boom
Shitin' on y'all with the boom, boom
Shitin' on y'all with the
This beat be bumping, bumping
This beat go boom, boom

Let the beat rock
Let the beat rock
Let the beat r...

This beat be bumping, bumpin'
This beat go boom, boom

[Fergie:]
I like that boom, boom, pow
Them chickens jackin' my style
They try to copy my swagger
I'm on that next shit now
I'm so three thousand and eight
You so two thousand and late
I got that boom, boom, boom
That future boom, boom, boom
Let me get it now

Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that
Boom, boom, boom, gotta get that

Boom, boom, boom, now
Boom, boom, boom, now
Boom, boom, boom
Boom, boom, boom

Let the beat rock, let the beat rock
Let the beat rock, let the beat...
Let the beat r..., let the beat rock, rock, rock, rock",7xRNsqOQOgWbHV1nbXnfXN
2010,Billboard(1),TiK ToK,Ke$ha,"Wake up in the mornin' feelin' like P-Diddy (hey what's up girl)
Grab my glasses I'm out the door I'm gonna hit the city (let's go)
Before I leave brush my teeth with a bottle of Jack
'Cause when I leave for the night I ain't comin' back

I'm talkin' pedicure on our toes toes
Tryin' on all our clothes clothes
Boys blowin' up our phones phones

Drop top and playin' our favorite CD's
Pullin' up to the parties
Tryna get a little bit tipsy

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh

Ain't got a care in world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
Now, the dudes are linin' up cause they hear we got swagger
But we kick em to the curb unless they look like Mick Jagger

I'm talkin' bout - everybody getting crunk, crunk
Boys tryna touch my junk, junk
Gonna smack him if he getting too drunk, drunk
Now, now - we goin' 'til they kick us out, out
Or the police shut us down, down
Police shut us down, down
Po-po shut us - (down)-man

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh

DJ, you build me up
You break me down
My heart, it pounds
Yeah, you got me
With my hands up
You got me now
You got that sound
Yeah, you got me

You build me up
You break me down
My heart, it pounds
Yeah, you got me
With my hands up
Put your hands up
Put your hands up

Now
The party don't start 'til I walk in

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh

Don't stop, make it pop
DJ, blow my speakers up
Tonight, Imma fight
'Til we see the sunlight
TiK ToK, on the clock
But the party don't stop no
Whoa-oh oh oh
Whoa-oh oh oh",0HPD5WQqrq7wPWR7P7Dw1i
2011,Billboard(1),Rolling In The Deep,Adele,"There's a fire starting in my heart
Reaching a fever pitch, it's bringing me out the dark
Finally I can see you crystal clear

 Go 'head and sell me out and I'll lay your shit bare
See how I leave with every piece of you
Don't underestimate the things that I will do

There's a fire starting in my heart
Reaching a fever pitch
And it's bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it, to the beat
(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you
And I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there
As mine sure won't be shared

(You're gonna wish you never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me thinking that we almost had it all
(You're gonna wish you never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it, to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
Rolling in the deep
You had my heart inside of your hand
But you played it, with a beating

Throw your soul through every open door (woah)
Count your blessings to find what you look for (woah)
Turn my sorrow into treasured gold (woah)
You'll pay me back in kind and reap just what you sow (woah)
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)

But you played it
You played it
You played it
You played it to the beat.",1c8gk2PeTE04A1pIDH9YMk
2012,Billboard(1),Somebody That I Used To Know,Gotye Featuring Kimbra,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know

[Gotye:]
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

(I used to know)
(That I used to know)
(I used to know)
Somebody",4wCmqSrbyCgxEXROQE6vtV
2013,Billboard(1),Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,"Hey, Macklemore! Can we go thrift shopping?

What, what, what, what...
What, what, what, what...
What, what, what, what...
What, what, what, what...
What, what, what, what...
What, what, what, what...
What, what, what, what...
What, what, what, what...

Bada, bada, badadada 
Bada, bada, badadada
Bada, bada, badadada
Bada, bada, badadada
Bada, bada, badadada 
Bada, bada, badadada
Bada, bada, badadada
Bada, bada, badadada

I'm gonna pop some tags
Only got twenty dollars in my pocket
I - I - I'm hunting, looking for a come-up
This is fucking awesome

Nah, walk up to the club like, ""What up? I got a big cock!""
I'm so pumped about some shit from the thrift shop
Ice on the fringe, it's so damn frosty
That people like, ""Damn! That's a cold ass honkey.""
Rollin' in, hella deep, headin' to the mezzanine,
Dressed in all pink, 'cept my gator shoes, those are green
Draped in a leopard mink, girls standin' next to me
Probably shoulda washed this, smells like R. Kelly's sheets
Piiisssssss
But—shit—it was ninety-nine cents! Bag it
Coppin' it, washin' it, 'bout to go and get some compliments
Passin' up on those moccasins someone else's been walkin' in
Bummy and grungy, fuck it, man
I am stuntin' and flossin' and
Savin' my money and I'm hella happy that's a bargain, bitch
I'm a take your grandpa's style, I'm a take your grandpa's style,
No, for real. Ask your grandpa. Can I have his hand-me-downs? Thank you
Velour jumpsuit and some house slippers
Dookie brown leather jacket that I found diggin'
They had a broken keyboard, I bought a broken keyboard
I bought a skeet blanket, then I bought a kneeboard
Hello, hello, my ace man, my Mello
John Wayne ain't got nothing on my fringe game, hell no
I could take some Pro Wings, make them cool, sell those
The sneaker heads would be like ""Aw, he got the Velcros""


I'm gonna pop some tags
Only got twenty dollars in my pocket
I - I - I'm hunting, looking for a come-up
This is fucking awesome
I'm gonna pop some tags
Only got twenty dollars in my pocket
I - I - I'm hunting, looking for a come-up
This is fucking awesome


What you know about rockin' a wolf on your noggin?
What you knowin' about wearin' a fur fox skin?
I'm digging, I'm digging, I'm searching right through that luggage
One man's trash, that's another man's come-up
Thank your granddad for donating that plaid button-up shirt
'Cause right now I'm up in her skirt
I'm at the Goodwill, you can find me in the Uptons
I'm not, I'm not stuck, I'm searchin' in that section Uptons
Your grammy, your aunty, your momma, your mammy
I'll take those flannel zebra jammies, second-hand, I rock that motherfucker
The built-in onesie with the socks on that motherfucker
I hit the party and they stop in that motherfucker
They be like, ""Oh, that Gucci. That's hella tight.""
I'm like, ""Yo, that's fifty dollars for a T-shirt.""
Limited edition, let's do some simple addition
Fifty dollars for a T-shirt - that's just some ignorant bitch. Shit
I call that getting swindled and pimped. Shit
I call that getting tricked by a business
That shirt's hella dough
And having the same one as six other people in this club is a hella don't
Peep game, come take a look through my telescope
Tryna get girls from a brand and you hella won't
Man you hella won't

Goodwill... poppin' tags... yeah!

I'm gonna pop some tags
Only got twenty dollars in my pocket
I - I - I'm hunting, looking for a come-up
This is fucking awesome

I wear your granddad's clothes
I look incredible
I'm in this big ass coat
From that thrift shop down the road
I wear your granddad's clothes, damn right
I look incredible, now come on, man
I'm in this big ass coat, big ass coat
From that thrift shop down the road. Let's go

I'm gonna pop some tags
Only got twenty dollars in my pocket
I - I - I'm hunting, looking for a come-up
This is fucking awesome

Is that your grandma's coat?",1CmUZGtH29Kx36C1Hleqlz
2014,Billboard(1),Happy,Pharrell Williams,"It might seem crazy what I'm about to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way

Uh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn you I'll be just fine (Yeah!)
No offense to you
Don't waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do",60nZcImufyMA1MKQY3dcCH
