Year,Winner,Record Name,Artist,Lyrics,Spotiify ID
2005,ROY,Boulevard Of Broken Dreams,Green Day,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me and I walk alone

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk alone

I walk alone
I walk alone
I walk alone
I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah, ah-ah

I'm walking down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone

Read between the lines
Of what's fucked up and everything's alright
Check my vital signs
To know I'm still alive and I walk alone

I walk alone
I walk alone
I walk alone
I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone

Ah-ah, ah-ah, ah-ah, aaah-ah
Ah-ah, ah-ah

I walk alone
I walk a

I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one and I walk a

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
'Til then I walk alone",1hwJKpe0BPUsq6UUrwBWTw
2006,ROY,Not Ready To Make Nice,Dixie Chick,"Forgive, sounds good
Forget, I'm not sure I could
They say time heals everything
But I'm still waiting

I'm through with doubt
There's nothing left for me to figure out
I've paid a price, and I'll keep paying

I'm not ready to make nice
I'm not ready to back down
I'm still mad as hell, and I don't have time
To go 'round and 'round and 'round
It's too late to make it right
I probably wouldn't if I could
'Cause I'm mad as hell
Can't bring myself to do what it is
You think I should

I know you said
Can't you just get over it?
It turned my whole world around
And I kinda like it

I made my bed, and I sleep like a baby
With no regrets, and I don't mind saying
It's a sad, sad story
When a mother will teach her daughter
That she ought to hate a perfect stranger
And how in the world
Can the words that I said
Send somebody so over the edge
That they'd write me a letter
Saying that I better
Shut up and sing
Or my life will be over?

I'm not ready to make nice
I'm not ready to back down
I'm still mad as hell, and I don't have time
To go 'round and 'round and 'round
It's too late to make it right
I probably wouldn't if I could
'Cause I'm mad as hell
Can't bring myself to do what it is
You think I should

I'm not ready to make nice
I'm not ready to back down
I'm still mad as hell, and I don't have time
To go 'round and 'round and 'round
It's too late to make it right
I probably wouldn't if I could
'Cause I'm mad as hell
Can't bring myself to do what it is
You think I should, what it is you think I should
What it is you think I should

Forgive, sounds good
Forget, I'm not sure I could
They say time heals everything
But I'm still waiting",6LCEyZZHFF4ebF1Mike1s5
2007,ROY,Rehab,Amy Winehouse,"They tried to make me go to rehab, but I said ""no, no, no""
Yes, I've been black, but when I come back, you'll know, know, know
I ain't got the time and if my daddy thinks I'm fine
He's tried to make me go to rehab, but I won't go, go, go

I'd rather be at home with Ray
I ain't got seventy days
'Cause there's nothing
There's nothing you can teach me
That I can't learn from Mr. Hathaway

I didn't get a lot in class
But I know it don't come in a shot glass

They tried to make me go to rehab, but I said 'no, no, no'
Yes, I've been black, but when I come back, you'll know, know, know
I ain't got the time and if my daddy thinks I'm fine
He's tried to make me go to rehab, but I won't go, go, go

The man said ""Why do you think you're here?""
I said ""I got no idea""
I'm gonna, I'm gonna lose my Baby
So I always keep a bottle near

He said ""I just think you're depressed""
This me ""Yeah, baby, and the rest""

They tried to make me go to rehab but I said ""no, no, no""
Yes, I've been black, but when I come back, you'll know, know, know..

I don't ever wanna drink again
I just, ooh, I just need a friend
I'm not gonna spend ten weeks
Have everyone think I'm on the mend

It's not just my pride
It's just 'til these tears have dried

They tried to make me go to rehab, but I said ""no, no, no""
Yes, I've been black, but when I come back, you'll know, know, know
I ain't got the time and if my daddy thinks I'm fine
He's tried to make me go to rehab, but I won't ""go, go, go""",1L5tZi0izXsi5Kk5OJf4W0
2008,ROY,Please Read The Letter,Robert Plant & Alison Krauss,"Caught out running
With just a little too much to hide.
Maybe, baby,
Everything's gonna turn out fine.

Please read the letter.
I nailed it to your door.
It's crazy how
It all turned out
We needed so much more.

Too late, too late.
A fool could read the signs.
Maybe, baby,
You'd better check between the lines.

Please read the letter.
I wrote it in my sleep
With help and consultation
From the angels of the deep.

Please read the letter that I wrote.
Please read the letter that I wrote.

Once I stood beside a well of many words.
My house was full of rings and charms and pretty birds.

Please understand me.
My walls come falling down.
There's nothing here
That's left for you,
But check with lost-and-found.

Please read the letter that I wrote.
Please read the letter that I wrote.
Please read the letter that I wrote.

One more song just before we go.
Remember, baby, you gotta reap just what you sow.

Please read my letter,
And promise me you'll keep
The secrets and the memories
We cherish in the deep.

Please read the letter.
I nailed it to your door.
It's crazy how
It all turned out
We needed so much more.

Please read the letter that I wrote.
Please read the letter that I wrote.
Please read the letter that I wrote.
Please read the letter that I wrote.

Please read the letter.
Please read the letter.
Please read the letter.",1m5N9YCZL4BXuSXdYmhRaj
2009,ROY,Use Somebody,King of Leon,"I've been roaming around
Always looking down at all I see
Painted faces, fill the places I can't reach

You know that I could use somebody
You know that I could use somebody

Someone like you, and all you know, and how you speak
Countless lovers under cover of the street

You know that I could use somebody
You know that I could use somebody
Someone like you

Off in the night, while you live it up, I'm off to sleep
Waging wars to shape the poet and the beat
I hope it's gonna make you notice
I hope it's gonna make you notice

Someone like me
Someone like me
Someone like me, somebody

I'm ready now
I'm ready now
I'm ready now
I'm ready now
I'm ready now
I'm ready now
I'm ready now
Someone like you, somebody 
Someone like you, somebody
Someone like you, somebody
I've been roaming around
Always looking down at all I see",5VGlqQANWDKJFl0MBG3sg2
2010,ROY,Need You Now,Lady Antebellum,"Picture perfect memories scattered all around the floor
Reaching for the phone 'cause I can't fight it anymore

And I wonder if I ever cross your mind?
For me it happens all the time

It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call but I've lost all control and I need you now
And I don't know how I can do without
I just need you now

Another shot of whiskey, can't stop looking at the door
Wishing you'd come sweeping in the way you did before

And I wonder if I ever cross your mind?
For me it happens all the time

It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call but I've lost all control and I need you now
And I don't know how I can do without
I just need you now

Oh, whoa
Guess I'd rather hurt than feel nothing at all

It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call but I'm a little drunk and I need you now
And I don't know how I can do without
I just need you now
I just need you now
Oh, baby, I need you now",11EX5yhxr9Ihl3IN1asrfK
2011,ROY,Rolling in the Deep,Adele,"There's a fire starting in my heart
Reaching a fever pitch, it's bringing me out the dark
Finally I can see you crystal clear
[Clean version:] Go 'head and sell me out and I'll lay your ship bare
[Explicit version:] Go 'head and sell me out and I'll lay your shit bare
See how I leave with every piece of you
Don't underestimate the things that I will do

There's a fire starting in my heart
Reaching a fever pitch
And it's bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it, to the beat
(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you
And I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there
As mine sure won't be shared

(You're gonna wish you never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me thinking that we almost had it all
(You're gonna wish you never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it, to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
Rolling in the deep
You had my heart inside of your hand
But you played it, with a beating

Throw your soul through every open door (woah)
Count your blessings to find what you look for (woah)
Turn my sorrow into treasured gold (woah)
You'll pay me back in kind and reap just what you sow (woah)
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)

But you played it
You played it
You played it
You played it to the beat.",1c8gk2PeTE04A1pIDH9YMk
2012,ROY,Somebody That I Used To Know,Gotye featuring Kimbra,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

[Kimbra:]
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know


But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

Somebody
(I used to know)
Somebody
(Now you're just somebody that I used to know)

(I used to know)
(That I used to know)
(I used to know)
Somebody",4wCmqSrbyCgxEXROQE6vtV
2013,ROY,Get Lucky,Daft Punk featuring Pharrell Williams & Nile Rodgers,"Like the legend of the Phoenix
All ends with beginnings
What keeps the planets spinning (uh)
The force from the beginning

(Look)

We've come too far to give up who we are
So let's raise the bar and our cups to the stars

She's up all night to the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky

We're up all night to the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky

We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

The present has no ribbon
Your gift keeps on giving,
What is this I'm feeling?
If you wanna leave I'm with it (ah)

We've come too far to give up who we are
So let's raise the bar and our cups to the stars

She's up all night to the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky

We're up all night to the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky

We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

(We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get)

(We're up all night to get (together)
We're up all night to get (let's get funked again)
We're up all night to get lucky
We're up all night to get lucky)

(We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky)

(We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky)

We've (we're up all night to get lucky)
Come too far (we're up all night to get lucky)
To give up (we're up all night to get lucky)
Who we are (we're up all night to get lucky)
So let's (we're up all night to get lucky)
Raise the bar (we're up all night to get lucky)
And our cups (we're up all night to get lucky)
To the stars (we're up all night to get lucky)

She's up all night to the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky

We're up all night to the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky

We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky",69kOkLUCkxIZYexIgSG8rq
2014,ROY,Stay With Me (Darkchild Version),Sam Smith,"Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down I know this never works
But you can lay with me so it doesn't hurt

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But, darling, stay with me",18bwumdnOVqjmRoyUSyxLC
